problem_id,problem_name,description,skill_level,difficulty,max_score
P0001,Easy Data Structures Problem 1,This is a easy level problem related to data structures.,Basic,Easy,60
P0002,Medium Data Structures Problem 2,This is a medium level problem related to data structures.,Intermediate,Medium,21
P0003,Easy Graphs Problem 3,This is a easy level problem related to graphs.,Basic,Easy,14
P0004,Easy Greedy Problem 4,This is a easy level problem related to greedy.,Basic,Easy,89
P0005,Hard Dynamic Programming Problem 5,This is a hard level problem related to dynamic programming.,Advanced,Hard,22
P0006,Easy Data Structures Problem 6,This is a easy level problem related to data structures.,Basic,Easy,66
P0007,Medium Data Structures Problem 7,This is a medium level problem related to data structures.,Intermediate,Medium,79
P0008,Hard Data Structures Problem 8,This is a hard level problem related to data structures.,Advanced,Hard,26
P0009,Medium Dynamic Programming Problem 9,This is a medium level problem related to dynamic programming.,Intermediate,Medium,31
P0010,Medium Data Structures Problem 10,This is a medium level problem related to data structures.,Intermediate,Medium,85
P0011,Medium Greedy Problem 11,This is a medium level problem related to greedy.,Intermediate,Medium,23
P0012,Hard Dynamic Programming Problem 12,This is a hard level problem related to dynamic programming.,Advanced,Hard,51
P0013,Easy Algorithm Problem 13,This is a easy level problem related to algorithm.,Basic,Easy,71
P0014,Hard Algorithm Problem 14,This is a hard level problem related to algorithm.,Advanced,Hard,17
P0015,Medium Algorithm Problem 15,This is a medium level problem related to algorithm.,Intermediate,Medium,26
P0016,Medium Greedy Problem 16,This is a medium level problem related to greedy.,Intermediate,Medium,64
P0017,Medium Dynamic Programming Problem 17,This is a medium level problem related to dynamic programming.,Intermediate,Medium,31
P0018,Medium Math Problem 18,This is a medium level problem related to math.,Intermediate,Medium,98
P0019,Easy Algorithm Problem 19,This is a easy level problem related to algorithm.,Basic,Easy,65
P0020,Easy Data Structures Problem 20,This is a easy level problem related to data structures.,Basic,Easy,26
P0021,Easy Graphs Problem 21,This is a easy level problem related to graphs.,Basic,Easy,97
P0022,Medium Math Problem 22,This is a medium level problem related to math.,Intermediate,Medium,18
P0023,Medium Greedy Problem 23,This is a medium level problem related to greedy.,Intermediate,Medium,47
P0024,Hard Graphs Problem 24,This is a hard level problem related to graphs.,Advanced,Hard,10
P0025,Medium Math Problem 25,This is a medium level problem related to math.,Intermediate,Medium,75
P0026,Hard Graphs Problem 26,This is a hard level problem related to graphs.,Advanced,Hard,58
P0027,Medium Greedy Problem 27,This is a medium level problem related to greedy.,Intermediate,Medium,48
P0028,Easy Data Structures Problem 28,This is a easy level problem related to data structures.,Basic,Easy,97
P0029,Hard Greedy Problem 29,This is a hard level problem related to greedy.,Advanced,Hard,14
P0030,Hard Math Problem 30,This is a hard level problem related to math.,Advanced,Hard,83
P0031,Easy Algorithm Problem 31,This is a easy level problem related to algorithm.,Basic,Easy,58
P0032,Easy Data Structures Problem 32,This is a easy level problem related to data structures.,Basic,Easy,26
P0033,Medium Data Structures Problem 33,This is a medium level problem related to data structures.,Intermediate,Medium,94
P0034,Medium Dynamic Programming Problem 34,This is a medium level problem related to dynamic programming.,Intermediate,Medium,76
P0035,Hard Dynamic Programming Problem 35,This is a hard level problem related to dynamic programming.,Advanced,Hard,61
P0036,Easy Math Problem 36,This is a easy level problem related to math.,Basic,Easy,29
P0037,Easy Data Structures Problem 37,This is a easy level problem related to data structures.,Basic,Easy,54
P0038,Hard Greedy Problem 38,This is a hard level problem related to greedy.,Advanced,Hard,58
P0039,Medium Data Structures Problem 39,This is a medium level problem related to data structures.,Intermediate,Medium,15
P0040,Medium Greedy Problem 40,This is a medium level problem related to greedy.,Intermediate,Medium,48
P0041,Easy Graphs Problem 41,This is a easy level problem related to graphs.,Basic,Easy,44
P0042,Hard Data Structures Problem 42,This is a hard level problem related to data structures.,Advanced,Hard,66
P0043,Easy Graphs Problem 43,This is a easy level problem related to graphs.,Basic,Easy,25
P0044,Medium Dynamic Programming Problem 44,This is a medium level problem related to dynamic programming.,Intermediate,Medium,20
P0045,Hard Greedy Problem 45,This is a hard level problem related to greedy.,Advanced,Hard,22
P0046,Easy Greedy Problem 46,This is a easy level problem related to greedy.,Basic,Easy,70
P0047,Medium Math Problem 47,This is a medium level problem related to math.,Intermediate,Medium,40
P0048,Medium Data Structures Problem 48,This is a medium level problem related to data structures.,Intermediate,Medium,13
P0049,Easy Math Problem 49,This is a easy level problem related to math.,Basic,Easy,63
P0050,Easy Greedy Problem 50,This is a easy level problem related to greedy.,Basic,Easy,45
P0051,Easy Algorithm Problem 51,This is a easy level problem related to algorithm.,Basic,Easy,13
P0052,Easy Algorithm Problem 52,This is a easy level problem related to algorithm.,Basic,Easy,95
P0053,Hard Math Problem 53,This is a hard level problem related to math.,Advanced,Hard,87
P0054,Medium Math Problem 54,This is a medium level problem related to math.,Intermediate,Medium,14
P0055,Hard Data Structures Problem 55,This is a hard level problem related to data structures.,Advanced,Hard,10
P0056,Medium Algorithm Problem 56,This is a medium level problem related to algorithm.,Intermediate,Medium,83
P0057,Easy Math Problem 57,This is a easy level problem related to math.,Basic,Easy,60
P0058,Hard Dynamic Programming Problem 58,This is a hard level problem related to dynamic programming.,Advanced,Hard,66
P0059,Medium Graphs Problem 59,This is a medium level problem related to graphs.,Intermediate,Medium,86
P0060,Hard Data Structures Problem 60,This is a hard level problem related to data structures.,Advanced,Hard,99
P0061,Hard Graphs Problem 61,This is a hard level problem related to graphs.,Advanced,Hard,50
P0062,Hard Graphs Problem 62,This is a hard level problem related to graphs.,Advanced,Hard,27
P0063,Hard Greedy Problem 63,This is a hard level problem related to greedy.,Advanced,Hard,99
P0064,Hard Algorithm Problem 64,This is a hard level problem related to algorithm.,Advanced,Hard,86
P0065,Medium Greedy Problem 65,This is a medium level problem related to greedy.,Intermediate,Medium,77
P0066,Hard Math Problem 66,This is a hard level problem related to math.,Advanced,Hard,81
P0067,Easy Data Structures Problem 67,This is a easy level problem related to data structures.,Basic,Easy,85
P0068,Easy Dynamic Programming Problem 68,This is a easy level problem related to dynamic programming.,Basic,Easy,95
P0069,Medium Graphs Problem 69,This is a medium level problem related to graphs.,Intermediate,Medium,10
P0070,Easy Math Problem 70,This is a easy level problem related to math.,Basic,Easy,86
P0071,Hard Dynamic Programming Problem 71,This is a hard level problem related to dynamic programming.,Advanced,Hard,94
P0072,Hard Graphs Problem 72,This is a hard level problem related to graphs.,Advanced,Hard,69
P0073,Hard Graphs Problem 73,This is a hard level problem related to graphs.,Advanced,Hard,100
P0074,Hard Dynamic Programming Problem 74,This is a hard level problem related to dynamic programming.,Advanced,Hard,73
P0075,Hard Algorithm Problem 75,This is a hard level problem related to algorithm.,Advanced,Hard,89
P0076,Easy Dynamic Programming Problem 76,This is a easy level problem related to dynamic programming.,Basic,Easy,26
P0077,Hard Greedy Problem 77,This is a hard level problem related to greedy.,Advanced,Hard,53
P0078,Medium Algorithm Problem 78,This is a medium level problem related to algorithm.,Intermediate,Medium,91
P0079,Hard Graphs Problem 79,This is a hard level problem related to graphs.,Advanced,Hard,29
P0080,Hard Graphs Problem 80,This is a hard level problem related to graphs.,Advanced,Hard,94
P0081,Hard Data Structures Problem 81,This is a hard level problem related to data structures.,Advanced,Hard,86
P0082,Hard Dynamic Programming Problem 82,This is a hard level problem related to dynamic programming.,Advanced,Hard,42
P0083,Hard Dynamic Programming Problem 83,This is a hard level problem related to dynamic programming.,Advanced,Hard,51
P0084,Hard Greedy Problem 84,This is a hard level problem related to greedy.,Advanced,Hard,88
P0085,Easy Graphs Problem 85,This is a easy level problem related to graphs.,Basic,Easy,30
P0086,Easy Data Structures Problem 86,This is a easy level problem related to data structures.,Basic,Easy,88
P0087,Easy Graphs Problem 87,This is a easy level problem related to graphs.,Basic,Easy,89
P0088,Medium Greedy Problem 88,This is a medium level problem related to greedy.,Intermediate,Medium,58
P0089,Hard Dynamic Programming Problem 89,This is a hard level problem related to dynamic programming.,Advanced,Hard,83
P0090,Hard Graphs Problem 90,This is a hard level problem related to graphs.,Advanced,Hard,67
P0091,Easy Math Problem 91,This is a easy level problem related to math.,Basic,Easy,86
P0092,Easy Algorithm Problem 92,This is a easy level problem related to algorithm.,Basic,Easy,49
P0093,Easy Math Problem 93,This is a easy level problem related to math.,Basic,Easy,87
P0094,Easy Math Problem 94,This is a easy level problem related to math.,Basic,Easy,11
P0095,Easy Graphs Problem 95,This is a easy level problem related to graphs.,Basic,Easy,21
P0096,Hard Data Structures Problem 96,This is a hard level problem related to data structures.,Advanced,Hard,37
P0097,Easy Data Structures Problem 97,This is a easy level problem related to data structures.,Basic,Easy,83
P0098,Medium Dynamic Programming Problem 98,This is a medium level problem related to dynamic programming.,Intermediate,Medium,36
P0099,Easy Math Problem 99,This is a easy level problem related to math.,Basic,Easy,40
P0100,Hard Greedy Problem 100,This is a hard level problem related to greedy.,Advanced,Hard,57
P0101,Hard Graphs Problem 101,This is a hard level problem related to graphs.,Advanced,Hard,26
P0102,Medium Math Problem 102,This is a medium level problem related to math.,Intermediate,Medium,94
P0103,Easy Greedy Problem 103,This is a easy level problem related to greedy.,Basic,Easy,27
P0104,Hard Algorithm Problem 104,This is a hard level problem related to algorithm.,Advanced,Hard,31
P0105,Hard Algorithm Problem 105,This is a hard level problem related to algorithm.,Advanced,Hard,60
P0106,Hard Graphs Problem 106,This is a hard level problem related to graphs.,Advanced,Hard,87
P0107,Medium Graphs Problem 107,This is a medium level problem related to graphs.,Intermediate,Medium,43
P0108,Medium Algorithm Problem 108,This is a medium level problem related to algorithm.,Intermediate,Medium,81
P0109,Medium Graphs Problem 109,This is a medium level problem related to graphs.,Intermediate,Medium,42
P0110,Easy Data Structures Problem 110,This is a easy level problem related to data structures.,Basic,Easy,90
P0111,Easy Dynamic Programming Problem 111,This is a easy level problem related to dynamic programming.,Basic,Easy,86
P0112,Easy Greedy Problem 112,This is a easy level problem related to greedy.,Basic,Easy,38
P0113,Medium Greedy Problem 113,This is a medium level problem related to greedy.,Intermediate,Medium,13
P0114,Hard Data Structures Problem 114,This is a hard level problem related to data structures.,Advanced,Hard,68
P0115,Hard Algorithm Problem 115,This is a hard level problem related to algorithm.,Advanced,Hard,10
P0116,Hard Data Structures Problem 116,This is a hard level problem related to data structures.,Advanced,Hard,92
P0117,Medium Math Problem 117,This is a medium level problem related to math.,Intermediate,Medium,64
P0118,Hard Data Structures Problem 118,This is a hard level problem related to data structures.,Advanced,Hard,15
P0119,Easy Data Structures Problem 119,This is a easy level problem related to data structures.,Basic,Easy,55
P0120,Medium Greedy Problem 120,This is a medium level problem related to greedy.,Intermediate,Medium,69
P0121,Medium Data Structures Problem 121,This is a medium level problem related to data structures.,Intermediate,Medium,59
P0122,Hard Algorithm Problem 122,This is a hard level problem related to algorithm.,Advanced,Hard,93
P0123,Hard Algorithm Problem 123,This is a hard level problem related to algorithm.,Advanced,Hard,64
P0124,Hard Data Structures Problem 124,This is a hard level problem related to data structures.,Advanced,Hard,95
P0125,Easy Math Problem 125,This is a easy level problem related to math.,Basic,Easy,47
